performance_id,campaign_id,date,impressions,clicks,likes,comments,shares,conversions,revenue_generated
PERF_00001,CMP_804,2023-01-12,30184,384.0,1682,140,132,346.0,286929.0
PERF_00002,CMP_139,2024-09-27,155794,8788.0,3719,307,224,13.0,376400.0
PERF_00003,CMP_503,2022-09-02,184848,12928.0,8994,1244,762,3.0,84707.0
PERF_00004,CMP_776,2022-09-15,90194,3658.0,4328,712,121,194.0,0.0
PERF_00005,CMP_433,2024-12-16,91165,6965.0,11388,1815,716,498.0,42313.0
PERF_00006,CMP_231,2022-07-30,77854,7881.0,7817,1401,517,360.0,0.0
PERF_00007,CMP_577,2023-05-12,60742,5772.0,8994,1603,803,194.0,334281.0
PERF_00008,CMP_243,2024-09-23,96638,2695.0,6396,962,487,349.0,320360.0
PERF_00009,CMP_269,2023-06-02,45862,3153.0,2376,283,98,473.0,293002.0
PERF_00010,CMP_162,2024-02-12,180467,8242.0,21634,1263,1854,412.0,141373.0
PERF_00011,CMP_848,2022-06-03,56307,6218.0,5277,832,195,255.0,480486.0
PERF_00012,CMP_370,2024-05-01,121285,3118.0,4627,748,292,382.0,471717.0
PERF_00013,CMP_209,2024-04-10,105700,5265.0,15818,1119,940,386.0,
PERF_00014,CMP_135,2022-11-09,41066,3244.0,5049,572,126,195.0,246392.0
PERF_00015,CMP_653,2025-04-10,66906,7815.0,8824,456,685,349.0,394676.0
PERF_00016,CMP_755,2023-09-25,169024,8015.0,9829,724,199,369.0,139091.0
PERF_00017,CMP_310,2024-04-09,47832,3149.0,1618,232,141,259.0,81131.0
PERF_00018,CMP_645,2023-07-30,43349,3005.0,5254,680,105,165.0,59650.0
PERF_00019,CMP_739,2022-07-15,96153,10255.0,12318,1184,303,449.0,42291.0
PERF_00020,CMP_921,2022-08-29,192865,12239.0,5592,917,454,65.0,497421.0
PERF_00021,CMP_660,2024-07-20,44287,1734.0,5908,670,218,276.0,362689.0
PERF_00022,CMP_390,2024-08-20,187895,8321.0,28065,4139,1544,264.0,130973.0
PERF_00023,CMP_472,2023-01-18,17784,839.0,1715,144,64,36.0,31866.0
PERF_00024,CMP_828,2022-09-26,18668,2045.0,2459,149,96,342.0,283713.0
PERF_00025,CMP_899,2024-09-30,190622,21522.0,17963,2171,1486,413.0,50453.0
